,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
407,santa fe,-31.63,-60.7,19.97,37,0,3.56,1602282830
408,thunder bay,48.4,-89.32,16.0,67,75,2.1,1602283056
409,kattivakkam,13.22,80.32,27.0,88,75,3.1,1602283056
410,red bluff,40.18,-122.24,27.22,38,1,4.1,1602283023
411,nyurba,63.28,118.33,-4.86,89,92,2.09,1602282785
412,warman,52.32,-106.57,10.56,48,75,2.6,1602282851
413,killybegs,54.63,-8.45,6.67,93,23,1.34,1602283057
414,ewa beach,21.32,-158.01,31.0,54,1,4.6,1602283057
415,moyale,3.52,39.06,21.99,67,0,1.53,1602283057
416,miracema do tocantins,-9.56,-48.4,29.96,33,18,0.95,1602283057
417,dhola,21.88,71.78,27.69,48,41,2.87,1602283057
